,X,Y,Z,dist_km,id
0,-2458406.88705118,-41918.7871223215,0.9262796049356016,0.0,1
1,-2458075.0075707696,-41542.65704452339,1.0176218972316426,0.5016152160190783,1
2,-2457743.1280903593,-41166.52696672527,0.9700530286315894,1.0032304320381622,1
3,-2457411.248609949,-40790.396888927164,0.8621573890434167,1.5048456480572403,1
4,-2457079.369129539,-40414.26681112958,1.3923884508724966,2.006460864075618,1
5,-2456747.4896491286,-40038.13673333147,1.3943643304493025,2.5080760800946957,1
6,-2456415.6101687183,-39662.00665553336,1.4936751920524227,3.009691296113774,1
7,-2456083.730688308,-39285.87657773525,3.894690891347417,3.5113065121328524,1
8,-2455751.8512078975,-38909.74649993714,1.9013848133704108,4.012921728151936,1
9,-2455419.971727487,-38533.61642213903,1.591209099767559,4.514536944171015,1
10,-2455088.092247077,-38157.48634434092,0.7552235990582338,5.016152160190093,1
11,-2454756.212766667,-37781.356266543335,0.2680032934940951,5.517767376208471,1
12,-2454424.3332862565,-37405.22618874522,1.0047468786878495,6.019382592227554,1
13,-2454092.453805846,-37334.91193856456,1.2729644575996282,6.358628938259349,1
14,-2453760.574325436,-37307.022906597296,1.4265135269985416,6.6916781652837125,1
15,-2453428.6948450254,-37279.13387463004,1.2979240693221499,7.024727392308075,1
16,-2453096.815364615,-37251.244842662774,1.3199640917892226,7.35777661933244,1
17,-2452764.9358842047,-37223.35581069552,1.7601512640757286,7.6908258463568036,1
18,-2452433.056403795,-37195.46677872829,2.1937077823231976,8.023875073380701,1
19,-2452101.1769233844,-37167.57774676103,2.2952292395172633,8.356924300405064,1
20,-2451769.297442974,-37139.68871479377,3.037591073349806,8.689973527429428,1
21,-2451437.4179625637,-37111.79968282651,3.177425337394748,9.023022754453793,1
22,-2451105.5384821533,-37083.910650859245,3.219059604629894,9.356071981478157,1
23,-2450773.659001743,-37056.02161889199,3.4554731368142604,9.68912120850252,1
24,-2450441.7795213326,-37028.13258692472,3.8957264298923375,10.022170435526885,1
25,-2450109.9000409227,-37000.2435549575,4.1032864406951814,10.355219662550782,1
26,-2449778.0205605123,-36972.35452299024,5.058371475234463,10.688268889575147,1
27,-2449446.141080102,-36944.46549102298,6.1623863052409975,11.02131811659951,1
28,-2449114.2615996916,-36916.576459055716,7.068238536614626,11.354367343623876,1
29,-2448782.382119281,-36888.68742708846,6.937954127635981,11.687416570648239,1
30,-2448450.502638871,-36860.79839512119,6.551453909822404,12.020465797672603,1
31,-2448118.6231584605,-36832.90936315393,6.180195679072926,12.353515024696968,1
32,-2447786.7436780506,-36805.02033118671,5.610100113643014,12.686564251720865,1
33,-2447454.86419764,-36777.13129921945,5.114421991987988,13.019613478745228,1
34,-2447122.98471723,-36749.242267252186,5.064035337790834,13.352662705769593,1
35,-2446791.1052368195,-36721.35323528493,5.7395302874424985,13.685711932793957,1
36,-2446459.225756409,-36693.464203317664,6.659248735662364,14.018761159818322,1
37,-2446127.3462759987,-36665.5751713504,7.62166997404752,14.351810386842686,1
38,-2445795.4667955884,-36637.68613938314,9.124604629938656,14.684859613867049,1
39,-2445463.5873151785,-36609.79710741592,10.213651838339793,15.017908840890945,1
