X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-2311063.78531254,-18116.2620468598,"2","40","0","0","40",479340.46905093331588,239.85031339519713
-2323181.59891826,-27313.3718604261,"2","41","0","0","41",494553.23459522484336,235.34285524901060
-2337536.54734348,-36324.0537723661,"2","42","0","0","42",511501.89037700073095,236.86984493066549
-2348349.36563781,-43656.884569669,"2","43","0","0","43",524566.63097787112929,231.64653079743624
-2354439.34375761,-49249.7216184593,"2","44","0","0","44",532835.10482459096238,241.75784394094447
-2368980.72008446,-52853.9943832353,"2","45","0","0","45",547816.50688321411144,242.10058504859708
-2376189.26561401,-59316.8283062819,"2","46","0","0","46",557498.00216899008956,277.21603146806842
-2379917.82364654,-53723.9912574916,"2","47","0","0","47",564219.75575389934238,306.08782013839766
-2391724.92408287,-50368.2890282174,"2","48","0","0","48",576494.45974891562946,274.82503595153531
-2404277.73612571,-51735.4269734772,"2","49","0","0","49",589121.50042930652853,287.90806503521270
-2413101.99013603,-43781.1698374199,"2","50","0","0","50",601001.63786222611088,288.41866853119672
-2425406.23164337,-44899.7372471779,"2","51","0","0","51",613356.61872506409418,287.79167044306132
-2435349.05306344,-36324.0537723661,"2","52","0","0","52",626486.81464331282768,303.67141048546767
-2449517.57358704,-29239.793510565,"2","53","0","0","53",642327.70215900044423,309.46382184414534
-2468781.79008843,-4258.45469263494,"2","54","0","0","54",673874.13343971106224,4.94046140939735
-2299909.1825319,-15040.2016700251,"3","0","0","0","0",0.00000000000000,308.86761313605120
-2301152.03520941,-13797.3489925162,"3","1","0","0","1",1757.65911256505001,5.98806622209861
-2292452.06646684,-8142.36930985039,"3","2","0","0","2",12133.99041668822611,52.08096662548920
-2284000.66825978,-312.397441543937,"3","3","0","0","3",23655.04033033690212,51.79056093033484
-2264736.45175839,12488.9851367984,"3","4","0","0","4",46784.79245459233061,44.16300157880571
-2259392.18524511,21064.6686116102,"3","5","0","0","5",56889.42167219439580,36.12239113210652
-2254172.20399957,27216.7893652795,"3","6","0","0","6",64957.68009464779607,46.72210125732588
-2242240.81829548,36165.3286433441,"3","7","0","0","7",79871.91222475543327,103.28252558853890
-2238760.83079846,29205.3536492939,"3","8","0","0","8",87653.40082895290107,135.00000000000006
-2230806.5736624,25228.2250812652,"3","9","0","0","9",96546.53066232120909,125.78252558853926
-2219869.47010032,14291.1215191864,"3","10","0","0","10",112013.93085289225564,155.40754193744087
-2218378.04688731,-6091.66239196056,"3","11","0","0","11",132451.20618912082864,199.16276547644139
-2229315.15044939,-18023.0480960466,"3","12","0","0","12",148636.94680076130317,149.68821238580244
-2214400.91831928,-14543.0605990215,"3","13","0","0","13",163951.79688197968062,132.28101470781024
-2216886.6236743,-32937.2802261541,"3","14","0","0","14",182513.20972699651611,203.39495530412333
-2229812.29152039,-48845.7944982688,"3","15","0","0","15",203010.86119280126877,242.16510859775187
-2247709.37007652,-50337.2177112796,"3","16","0","0","16",220969.97486927630962,285.92171656094030
-2265109.30756165,-37411.5498651864,"3","17","0","0","17",242645.55361019613338,304.67115054235728
-2299909.1825319,-15040.2016700251,"3","18","0","0","18",284015.93574541737325,308.86761313605120
-2228507.29620901,177912.676513241,"4","0","0","0","0",0.00000000000000,148.45674081153783
-2231241.57209953,169709.848841682,"4","1","0","0","1",8646.53956532754091,161.21570398558677
-2220553.03907295,162501.30331213,"4","2","0","0","2",21538.70256894530030,142.78075516266492
-2219807.32746645,160264.168492614,"4","3","0","0","3",23896.84972312550235,183.35491840387891
-2225524.44978299,148084.212253026,"4","4","0","0","4",37351.84216387279594,231.21021497262825
-2233230.13638354,146344.218504513,"4","5","0","0","5",45251.53736247672350,300.08645767276323
-2236212.98280956,156038.469389083,"4","6","0","0","6",55394.31178638125857,310.93494882292276
-2240935.8229841,156784.180995589,"4","7","0","0","7",60175.66150317339634,256.21382714603720
-2262064.31850175,141124.237258976,"4","8","0","0","8",86474.84705469463370,200.78318481877432
-2260075.75421774,131678.556909908,"4","9","0","0","9",96127.58061407716013,208.30495381816172
-2276481.40956085,125215.722986861,"4","10","0","0","10",113760.32712600994273,232.89109969489883
-2304632.02270643,88240.8558309694,"4","11","0","0","11",160231.80032912481693,219.04472546272729
-2321907.67492381,68230.9277230752,"4","12","0","0","12",186667.48421320048510,216.82260147288460
-2336386.90861679,45797.4368940384,"4","13","0","0","13",213367.85348241450265,214.07851736625599
-2347261.86954499,30448.2063268027,"4","14","0","0","14",232179.11750682591810,226.79545935624748
-2362238.24430897,21188.953879361,"4","15","0","0","15",249786.66012232791400,253.41152671160475
-2367147.51238513,21064.6686116101,"4","16","0","0","16",254697.50117772642989,256.96310946145155
-2380570.32130223,14912.5478579407,"4","17","0","0","17",269463.01468023029156,254.02102820620985
-2393123.13334507,13296.8393771791,"4","18","0","0","18",282119.38082844478777,285.87974004240510
-2395111.69762908,14912.5478579408,"4","19","0","0","19",284681.58726167050190,287.66870316921148
-2419720.18064376,13296.8393771791,"4","20","0","0","20",309343.05417218664661,269.60589074103387
-2436498.69179013,14166.8362514354,"4","21","0","0","21",326144.10565267753555,284.76664260347502
-2439730.10875166,15782.5447321971,"4","22","0","0","22",329756.93964748346480,271.56817918416641
-2454644.34088176,9319.71080915046,"4","23","0","0","23",346011.24807164014783,236.98863885394968
-2470055.71408287,-4848.80971445169,"4","24","0","0","24",366945.84617553633871,247.61952791672903
-2493048.48861679,-5718.80658870802,"4","25","0","0","25",389955.07422275037970,277.39961671267457
-2507714.1502114,-1244.53694967573,"4","26","0","0","26",405288.06867296353448,261.85589076691201
-2522876.95287701,-11187.3583697474,"4","27","0","0","27",423420.09234567167005,280.70276325186546
-2532571.20376157,2484.02108285113,"4","28","0","0","28",440179.71991760516539,266.25571458497853
-2543005.22278019,-17262.7836333389,"4","29","0","0","29",462513.66380085336277,283.93615744503398
-2542934,179128,"4","30","0","0","30",658904.46034896397032,45.00519833834344
-2237031.95459834,179183.430127253,"4","31","0","0","31",964806.51077265036292,94.23407533914298
-2228507.29620901,177912.676513241,"4","32","0","0","32",973425.36309778131545,148.45674081153783
-2160212.54157989,-173213,"5","0","0","0","0",0.00000000000000,220.74102853484749
-2542934,-173213,"5","1","0","0","1",382721.45842011040077,335.06956626411602
-2486585.65469374,-106389.873,"5","2","0","0","2",470131.21943575085606,49.91011844005170
-2444080.09312294,-81532.82,"5","3","0","0","3",519371.40473489917349,68.43841903962378
-2422205.88599878,-76561.409206719,"5","4","0","0","4",541803.43234245409258,68.60704717926360
-2409280.21815268,-69104.2931416652,"5","5","0","0","5",556725.94785677734762,61.72665472703636
-2400331.67887462,-64630.0235026329,"5","6","0","0","6",566730.71891931677237,39.45871526848658
-2396665.26347597,-51393.6424871625,"5","7","0","0","7",580465.50629525305703,50.93049850496572
-2391755.99539981,-51082.9293177852,"5","8","0","0","8",585384.59723944286816,96.28386077645274
-2380197.46549898,-54438.6315470594,"5","9","0","0","9",597420.39180897746701,126.76414676767540
-2377090.3338052,-59285.7569893443,"5","10","0","0","10",603177.89929188112728,137.10449246209004
-2376096.0516632,-60031.4685958497,"5","11","0","0","11",604420.75196938985027,87.77219858334280
-2368887.50613364,-53692.919940554,"5","12","0","0","12",614019.72731612238567,62.69184905477236
-2353103.27712928,-49964.3619080271,"5","13","0","0","13",630238.35951073456090,62.92193498122502
-2342041.88829945,-40394.3962912081,"5","14","0","0","14",644864.99838478141464,54.73778106887036
-2333093.34902139,-35298.7003134214,"5","15","0","0","15",655162.69097628432792,57.08715270761182
-2311840.56823598,-19763.0418445594,"5","16","0","0","16",681488.29401160962880,60.65642452416160
-2301649.17628041,-15537.3427410289,"5","17","0","0","17",692521.01819495239761,94.55960797617024
-2289344.93477307,-23118.7440738336,"5","18","0","0","18",706973.42302044632379,121.87579821473525
-2271323.57094919,-34428.7034391651,"5","19","0","0","19",728249.81216235901229,127.40222093863630
